,소비자물가지수(단일),신선식품 (신선식품지수),달걀 (품목별소비자물가),Meat,식품
2018.01,98.106,92.961,102.34,95.6,106.68
2018.02,98.855,101.268,99.017,97.0,108.98
2018.03,98.751,95.89,92.837,97.2,108.46
2018.04,98.931,96.269,85.763,95.9,108.32
2018.05,98.979,92.838,86.968,95.3,108.18
2018.06,98.779,87.69,82.984,95.1,107.01
2018.07,98.59,86.915,83.431,94.6,107.48
2018.08,99.462,102.745,90.301,95.8,110.85
2018.09,100.221,112.322,97.414,94.1,113.08
2018.1,100.041,103.1,96.413,92.3,110.7
2018.11,99.33,94.232,92.633,92.9,109.17
2018.12,98.988,94.24,91.739,92.9,108.97
2019.01,98.884,94.034,89.64,92.3,109.36
2019.02,99.311,95.964,86.929,93.1,109.59
2019.03,99.121,93.027,83.489,94.6,108.96
2019.04,99.481,93.679,90.553,97.8,109.71
2019.05,99.652,90.899,92.021,100.5,109.58
2019.06,99.491,87.715,90.398,101.2,109.26
2019.07,99.187,85.512,91.865,102.4,108.54
2019.08,99.425,88.424,89.825,102.3,109.73
2019.09,99.794,95.18,93.031,101.0,111.71
2019.1,100.041,95.106,98.142,101.6,112.3
2019.11,99.481,89.274,99.503,106.5,110.58
2019.12,99.719,92.128,99.415,106.6,110.79
2020.01,100.09,96.5,99.41,103.6,111.9
2020.02,100.16,95.57,97.37,100.5,111.74
2020.03,99.94,97.07,100.57,99.4,112.6
2020.04,99.5,95.14,101.87,96.9,112.48
2020.05,99.44,94.34,100.08,95.4,112.14
2020.06,99.71,93.42,98.62,94.8,112.37
2020.07,99.63,96.19,97.44,92.2,112.5
2020.08,100.19,105.17,97.54,92.2,114.62
2020.09,100.74,114.44,101.42,91.5,117.52
2020.1,100.18,112.47,103.39,91.8,117.37
2020.11,100.09,99.95,101.31,93.3,114.32
2020.12,100.33,99.74,100.99,94.8,113.71
2021.01,101.04,105.37,114.97,96.0,115.47
2021.02,101.58,112.55,139.08,97.8,117.59
2021.03,101.84,111.82,141.28,100.8,117.35
2021.04,101.98,108.57,140.16,104.3,117.31
2021.05,102.05,104.84,147.12,107.4,116.84
2021.06,102.05,100.93,153.72,110.7,116.21
2021.07,102.26,100.58,154.35,114.1,116.29
2021.08,102.75,104.26,151.67,113.4,118.2
2021.09,103.17,109.16,146.05,112.7,119.77
2021.1,103.35,103.75,138.13,112.0,119.0
2021.11,103.87,105.5,134.44,112.5,119.73
2021.12,104.04,106.41,134.47,111.0,106.13
2022.01,104.69,111.65,133.26,112.1,106.77
2022.02,105.3,111.57,130.07,113.9,107.98
2022.03,106.06,109.35,130.9,119.3,108.54
2022.04,106.85,109.62,135.2,121.9,109.32
2022.05,107.56,107.46,137.79,122.9,110.97
2022.06,108.22,106.36,138.19,125.9,111.31
2022.07,108.74,113.7,137.73,124.1,113.09
2022.08,108.62,119.8,136.47,121.1,114.13
2022.09,108.93,123.12,136.8,120.3,115.03
2022.1,109.21,115.6,135.82,116.8,113.9
2022.11,109.1,106.36,136.78,114.6,112.39
2022.12,109.28,107.62,138.02,112.4,113.1
