,소비자물가지수(단일),신선식품 (신선식품지수),돼지고기 (수입물가지수),돼지고기 (생산자물가지수),Meat,식품
2018.01,98.106,92.961,116.31,82.61,95.6,106.68
2018.02,98.855,101.268,118.08,84.52,97.0,108.98
2018.03,98.751,95.89,116.9,84.31,97.2,108.46
2018.04,98.931,96.269,116.59,91.87,95.9,108.32
2018.05,98.979,92.838,117.31,98.57,95.3,108.18
2018.06,98.779,87.69,117.17,109.42,95.1,107.01
2018.07,98.59,86.915,113.56,110.55,94.6,107.48
2018.08,99.462,102.745,112.96,105.55,95.8,110.85
2018.09,100.221,112.322,116.91,111.08,94.1,113.08
2018.1,100.041,103.1,118.15,85.93,92.3,110.7
2018.11,99.33,94.232,114.93,79.15,92.9,109.17
2018.12,98.988,94.24,112.84,77.18,92.9,108.97
2019.01,98.884,94.034,111.46,73.02,92.3,109.36
2019.02,99.311,95.964,111.64,70.46,93.1,109.59
2019.03,99.121,93.027,127.0,82.16,94.6,108.96
2019.04,99.481,93.679,134.09,93.23,97.8,109.71
2019.05,99.652,90.899,140.25,93.46,100.5,109.58
2019.06,99.491,87.715,136.47,93.37,101.2,109.26
2019.07,99.187,85.512,130.88,91.49,102.4,108.54
2019.08,99.425,88.424,131.92,93.09,102.3,109.73
2019.09,99.794,95.18,142.0,104.18,101.0,111.71
2019.1,100.041,95.106,145.32,70.33,101.6,112.3
2019.11,99.481,89.274,143.42,80.01,106.5,110.58
2019.12,99.719,92.128,141.7,74.19,106.6,110.79
2020.01,100.09,96.5,137.11,67.83,103.6,111.9
2020.02,100.16,95.57,133.61,69.72,100.5,111.74
2020.03,99.94,97.07,141.06,81.14,99.4,112.6
2020.04,99.5,95.14,136.29,89.2,96.9,112.48
2020.05,99.44,94.34,134.47,104.71,95.4,112.14
2020.06,99.71,93.42,135.79,103.42,94.8,112.37
2020.07,99.63,96.19,130.82,106.66,92.2,112.5
2020.08,100.19,105.17,129.09,97.93,92.2,114.62
2020.09,100.74,114.44,138.94,105.66,91.5,117.52
2020.1,100.18,112.47,144.42,93.58,91.8,117.37
2020.11,100.09,99.95,134.32,96.74,93.3,114.32
2020.12,100.33,99.74,130.85,90.16,94.8,113.71
2021.01,101.04,105.37,134.12,83.27,96.0,115.47
2021.02,101.58,112.55,139.83,81.14,97.8,117.59
2021.03,101.84,111.82,151.12,90.77,100.8,117.35
2021.04,101.98,108.57,157.14,104.37,104.3,117.31
2021.05,102.05,104.84,157.12,110.13,107.4,116.84
2021.06,102.05,100.93,154.43,117.97,110.7,116.21
2021.07,102.26,100.58,153.29,116.69,114.1,116.29
2021.08,102.75,104.26,154.97,120.09,113.4,118.2
2021.09,103.17,109.16,154.01,124.95,112.7,119.77
2021.1,103.35,103.75,156.73,106.38,112.0,119.0
2021.11,103.87,105.5,152.05,120.77,112.5,119.73
2021.12,104.04,106.41,148.07,114.49,111.0,106.13
2022.01,104.69,111.65,147.08,103.57,112.1,106.77
2022.02,105.3,111.57,148.68,94.79,113.9,107.98
2022.03,106.06,109.35,153.33,95.14,119.3,108.54
2022.04,106.85,109.62,158.82,121.93,121.9,109.32
2022.05,107.56,107.46,162.0,148.5,122.9,110.97
2022.06,108.22,106.36,161.57,140.62,125.9,111.31
2022.07,108.74,113.7,158.01,133.03,124.1,113.09
2022.08,108.62,119.8,158.15,143.32,121.1,114.13
2022.09,108.93,123.12,157.49,137.3,120.3,115.03
2022.1,109.21,115.6,155.87,122.7,116.8,113.9
2022.11,109.1,106.36,145.89,115.85,114.6,112.39
2022.12,109.28,107.62,138.21,118.28,112.4,113.1
