,신선어개 (신선식품지수),신선수산물 (수입물가지수),기타어류 (생산자물가지수),Food Price Index,식품
2018.01,92.806,100.79,103.23,96.8,106.68
2018.02,93.193,102.4,111.54,97.9,108.98
2018.03,93.773,105.41,106.05,99.0,108.46
2018.04,94.454,106.63,99.42,98.6,108.32
2018.05,95.018,100.47,125.98,98.7,108.18
2018.06,95.018,93.73,118.83,97.0,107.01
2018.07,94.454,83.42,104.56,95.1,107.48
2018.08,92.848,82.82,107.38,96.0,110.85
2018.09,92.007,76.14,86.87,94.2,113.08
2018.1,93.302,79.12,80.8,93.3,110.7
2018.11,94.059,87.14,89.53,92.2,109.17
2018.12,94.16,92.16,94.48,92.2,108.97
2019.01,92.688,91.46,102.56,93.3,109.36
2019.02,92.461,87.69,102.57,94.0,109.59
2019.03,91.839,92.29,114.21,93.2,108.96
2019.04,92.31,86.64,98.22,93.6,109.71
2019.05,92.831,86.53,98.1,94.3,109.58
2019.06,93.252,90.41,121.9,95.4,109.26
2019.07,93.42,89.19,111.47,95.1,108.54
2019.08,91.023,98.8,108.52,94.1,109.73
2019.09,92.419,96.57,116.55,93.4,111.71
2019.1,93.823,89.13,96.62,95.2,112.3
2019.11,94.774,88.5,97.7,98.6,110.58
2019.12,97.171,92.24,109.55,101.0,110.79
2020.01,99.11,94.67,109.32,102.5,111.9
2020.02,100.44,87.12,99.56,99.4,111.74
2020.03,99.76,90.61,111.04,95.2,112.6
2020.04,100.65,87.55,105.04,92.5,112.48
2020.05,100.65,92.97,115.1,91.1,112.14
2020.06,100.28,103.36,123.32,93.3,112.37
2020.07,99.08,99.6,129.13,94.0,112.5
2020.08,97.82,93.67,109.45,95.9,114.62
2020.09,98.48,86.27,113.46,98.0,117.52
2020.1,99.91,88.28,112.42,101.4,117.37
2020.11,101.56,88.05,96.43,105.6,114.32
2020.12,102.26,87.47,92.72,108.6,113.71
2021.01,102.62,87.37,102.34,113.5,115.47
2021.02,102.71,86.76,100.37,116.6,117.59
2021.03,102.47,85.51,110.27,119.2,117.35
2021.04,102.15,85.43,99.71,122.1,117.31
2021.05,102.3,88.59,112.32,128.1,116.84
2021.06,101.82,85.43,112.34,125.3,116.21
2021.07,100.11,89.31,108.68,124.6,116.29
2021.08,99.95,89.67,107.88,128.0,118.2
2021.09,100.6,98.5,102.82,129.2,119.77
2021.1,100.34,88.31,101.34,133.2,119.0
2021.11,102.23,90.1,112.05,135.3,119.73
2021.12,103.2,92.88,103.52,133.7,106.13
2022.01,103.36,94.57,105.38,135.6,106.77
2022.02,103.18,89.98,112.11,141.2,107.98
2022.03,102.99,94.58,103.13,159.7,108.54
2022.04,104.36,93.3,98.3,158.4,109.32
2022.05,104.85,95.24,107.51,158.1,110.97
2022.06,104.54,91.63,131.1,154.7,111.31
2022.07,103.39,95.45,125.04,140.6,113.09
2022.08,102.73,96.52,127.16,137.6,114.13
2022.09,104.7,112.25,119.65,136.0,115.03
2022.1,106.95,104.59,117.93,135.4,113.9
2022.11,109.2,105.72,122.21,134.7,112.39
2022.12,110.86,106.77,134.53,131.8,113.1
