,신선채소 (신선식품지수),냉동채소 (수입물가지수),양파 (품목별소비자물가),양파 (생산자물가지수),Food Price Index,식품
2018.01,88.511,91.05,99.88,109.45,96.8,106.68
2018.02,104.029,92.15,99.958,104.46,97.9,108.98
2018.03,94.878,87.21,95.79,76.34,99.0,108.46
2018.04,92.009,83.7,83.983,67.63,98.6,108.32
2018.05,87.749,84.95,81.225,68.79,98.7,108.18
2018.06,79.88,86.25,78.327,59.22,97.0,107.01
2018.07,83.045,88.65,73.907,57.07,95.1,107.48
2018.08,107.551,87.94,69.696,64.51,96.0,110.85
2018.09,123.374,89.38,71.592,66.2,94.2,113.08
2018.1,101.495,90.98,73.872,58.07,93.3,110.7
2018.11,90.649,90.8,72.175,57.73,92.2,109.17
2018.12,85.502,90.34,69.87,53.52,92.2,108.97
2019.01,86.761,90.27,69.234,47.99,93.3,109.36
2019.02,88.254,90.3,67.66,48.38,94.0,109.59
2019.03,82.625,90.97,66.72,56.04,93.2,108.96
2019.04,81.023,100.25,80.032,77.25,93.6,109.71
2019.05,79.041,103.97,87.22,54.78,94.3,109.58
2019.06,77.859,103.29,76.265,39.85,95.4,109.26
2019.07,77.695,115.03,63.144,34.61,95.1,108.54
2019.08,88.285,118.14,58.637,44.24,94.1,109.73
2019.09,96.915,116.57,61.56,46.69,93.4,111.71
2019.1,99.878,116.39,62.596,43.63,95.2,112.3
2019.11,91.597,114.75,63.405,52.88,98.6,110.58
2019.12,91.216,115.57,68.504,68.84,101.0,110.79
2020.01,100.62,116.18,79.78,88.82,102.5,111.9
2020.02,97.26,119.13,85.65,105.52,99.4,111.74
2020.03,97.03,121.75,113.13,110.56,95.2,112.6
2020.04,90.06,112.47,111.43,109.35,92.5,112.48
2020.05,87.67,112.83,102.25,95.44,91.1,112.14
2020.06,85.99,112.76,95.4,71.37,93.3,112.37
2020.07,90.29,115.3,88.5,79.99,94.0,112.5
2020.08,112.34,114.14,91.3,103.21,95.9,114.62
2020.09,127.95,113.89,100.51,118.06,98.0,117.52
2020.1,119.11,109.46,107.03,121.67,101.4,117.37
2020.11,98.91,106.79,111.13,130.75,105.6,114.32
2020.12,92.77,104.72,113.89,137.9,108.6,113.71
2021.01,105.43,107.16,126.5,178.53,113.5,115.47
2021.02,119.53,108.54,143.66,199.38,116.6,117.59
2021.03,116.57,110.44,154.04,192.95,119.2,117.35
2021.04,108.47,109.91,129.01,104.16,122.1,117.31
2021.05,98.39,110.3,91.94,62.18,128.1,116.84
2021.06,91.34,110.1,82.15,66.48,125.3,116.21
2021.07,90.14,114.32,82.41,73.71,124.6,116.29
2021.08,99.12,139.84,82.47,90.85,128.0,118.2
2021.09,113.58,140.95,87.8,94.86,129.2,119.77
2021.1,99.06,148.11,87.06,89.75,133.2,119.0
2021.11,107.0,149.67,87.59,96.42,135.3,119.73
2021.12,101.98,150.59,88.07,87.91,133.7,106.13
2022.01,107.69,151.9,86.45,71.02,135.6,106.77
2022.02,109.49,192.92,83.54,58.54,141.2,107.98
2022.03,104.28,164.56,77.04,55.24,159.7,108.54
2022.04,102.49,162.14,78.58,59.4,158.4,109.32
2022.05,98.5,165.51,78.15,74.15,158.1,110.97
2022.06,96.84,166.66,88.41,136.45,154.7,111.31
2022.07,113.57,175.33,97.9,144.67,140.6,113.09
2022.08,126.88,177.97,101.09,148.76,137.6,114.13
2022.09,138.77,183.86,105.93,146.77,136.0,115.03
2022.1,120.56,188.43,109.17,149.89,135.4,113.9
2022.11,104.01,189.19,111.7,149.63,134.7,112.39
2022.12,99.41,181.45,115.1,148.58,131.8,113.1
