,신선채소 (신선식품지수),냉동채소 (수입물가지수),호박 (품목별소비자물가),호박 (생산자물가지수),Food Price Index,식품
2018.01,88.511,91.05,106.958,140.56,96.8,106.68
2018.02,104.029,92.15,138.009,154.64,97.9,108.98
2018.03,94.878,87.21,116.63,148.04,99.0,108.46
2018.04,92.009,83.7,85.967,87.99,98.6,108.32
2018.05,87.749,84.95,77.202,92.34,98.7,108.18
2018.06,79.88,86.25,70.743,55.41,97.0,107.01
2018.07,83.045,88.65,61.653,51.87,95.1,107.48
2018.08,107.551,87.94,80.269,102.75,96.0,110.85
2018.09,123.374,89.38,127.576,145.55,94.2,113.08
2018.1,101.495,90.98,71.302,82.46,93.3,110.7
2018.11,90.649,90.8,96.136,111.28,92.2,109.17
2018.12,85.502,90.34,93.101,103.86,92.2,108.97
2019.01,86.761,90.27,100.359,106.77,93.3,109.36
2019.02,88.254,90.3,100.336,93.24,94.0,109.59
2019.03,82.625,90.97,81.619,77.8,93.2,108.96
2019.04,81.023,100.25,64.424,52.69,93.6,109.71
2019.05,79.041,103.97,56.7,54.35,94.3,109.58
2019.06,77.859,103.29,65.403,62.14,95.4,109.26
2019.07,77.695,115.03,60.473,59.83,95.1,108.54
2019.08,88.285,118.14,98.372,110.81,94.1,109.73
2019.09,96.915,116.57,96.509,108.6,93.4,111.71
2019.1,99.878,116.39,87.892,91.96,95.2,112.3
2019.11,91.597,114.75,71.403,65.32,98.6,110.58
2019.12,91.216,115.57,75.347,97.55,101.0,110.79
2020.01,100.62,116.18,120.9,157.53,102.5,111.9
2020.02,97.26,119.13,124.74,151.74,99.4,111.74
2020.03,97.03,121.75,129.4,122.22,95.2,112.6
2020.04,90.06,112.47,76.37,62.78,92.5,112.48
2020.05,87.67,112.83,64.03,67.86,91.1,112.14
2020.06,85.99,112.76,70.49,66.03,93.3,112.37
2020.07,90.29,115.3,74.73,88.26,94.0,112.5
2020.08,112.34,114.14,153.39,240.6,95.9,114.62
2020.09,127.95,113.89,141.66,170.21,98.0,117.52
2020.1,119.11,109.46,88.19,61.63,101.4,117.37
2020.11,98.91,106.79,69.1,69.13,105.6,114.32
2020.12,92.77,104.72,87.01,107.01,108.6,113.71
2021.01,105.43,107.16,127.29,175.13,113.5,115.47
2021.02,119.53,108.54,144.36,163.52,116.6,117.59
2021.03,116.57,110.44,120.32,143.03,119.2,117.35
2021.04,108.47,109.91,87.82,82.15,122.1,117.31
2021.05,98.39,110.3,70.95,103.39,128.1,116.84
2021.06,91.34,110.1,91.14,84.36,125.3,116.21
2021.07,90.14,114.32,68.88,56.27,124.6,116.29
2021.08,99.12,139.84,76.21,105.64,128.0,118.2
2021.09,113.58,140.95,135.71,149.71,129.2,119.77
2021.1,99.06,148.11,84.44,149.11,133.2,119.0
2021.11,107.0,149.67,125.27,134.53,135.3,119.73
2021.12,101.98,150.59,112.7,148.26,133.7,106.13
2022.01,107.69,151.9,138.06,167.37,135.6,106.77
2022.02,109.49,192.92,131.18,129.3,141.2,107.98
2022.03,104.28,164.56,112.78,129.82,159.7,108.54
2022.04,102.49,162.14,95.83,84.51,158.4,109.32
2022.05,98.5,165.51,71.25,68.9,158.1,110.97
2022.06,96.84,166.66,79.13,103.74,154.7,111.31
2022.07,113.57,175.33,119.17,147.87,140.6,113.09
2022.08,126.88,177.97,139.6,210.9,137.6,114.13
2022.09,138.77,183.86,150.09,152.01,136.0,115.03
2022.1,120.56,188.43,101.54,108.84,135.4,113.9
2022.11,104.01,189.19,81.5,77.14,134.7,112.39
2022.12,99.41,181.45,88.89,134.07,131.8,113.1
