일자,"전라남도 무안군
평균가격 (원/kg)","제주도 제주시
평균가격 (원/kg)","전라북도 고창군
평균가격 (원/kg)","전라남도 나주시
평균가격 (원/kg)","전라남도 영암군
평균가격 (원/kg)","충청남도 아산시
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,,510,340,960,430,
20220104,,500,310,1320,370,
20220105,,480,280,1450,350,200
20220106,300,460,240,960,360,200
20220107,300,470,220,1200,310,3200
20220108,,460,200,1190,280,3200
20220109,,450,180,680,,
20220110,,450,200,1170,410,
20220111,260,460,200,1310,320,
20220112,200,460,180,1500,260,
20220113,140,470,160,1670,260,
20220114,190,460,190,1990,310,4700
20220115,180,450,260,2020,390,4700
20220116,170,460,310,1850,,
20220117,,490,250,1990,340,
20220118,200,520,270,2000,360,
20220119,240,540,250,1740,380,
20220120,4470,550,260,2110,360,
20220121,4410,560,300,2000,340,
20220122,150,560,350,1670,340,
20220123,,570,430,2080,340,
20220124,,510,320,430,340,
20220125,170,510,320,1560,340,
20220126,160,510,320,2200,320,
20220127,160,520,280,1180,320,
20220128,160,540,280,470,340,
20220129,,560,380,920,360,
20220130,,570,400,1550,360,
20220131,,490,,,,
20220201,,490,,,,
20220202,,,,,,
20220203,,,410,,,
20220204,,510,410,2760,,
20220205,260,480,410,2580,220,
20220206,260,460,,2390,220,
20220207,,470,410,3080,360,
20220208,,460,410,3200,310,
20220209,200,430,,2840,230,
20220210,200,410,,2580,220,
20220211,100,420,,1760,280,
20220212,140,440,,1750,320,
20220213,190,440,,2750,330,
20220214,190,440,,1840,200,
20220215,200,450,,1910,200,
20220216,210,480,,2420,,
20220217,,500,350,2320,,
20220218,200,490,350,1600,,
20220219,200,500,320,1300,,
20220220,,510,300,1190,,
20220221,,490,400,1810,,
20220222,220,500,400,1510,,
20220223,220,530,380,1130,640,
20220224,280,540,350,1070,640,
20220225,280,520,350,1200,600,
20220226,1750,500,350,1240,550,
20220227,1750,500,350,1160,,
20220228,,470,350,1450,,
20220301,,470,350,1400,,
20220302,,480,400,1450,,
20220303,,480,440,1610,,
20220304,,500,440,1700,,
20220305,1250,500,,1600,,
20220306,1250,470,,1480,,
20220307,,480,,1840,,
20220308,,480,460,1890,,
20220309,,480,460,1690,,
20220310,,450,,1540,,
20220311,,430,,1620,,
20220312,,420,,1500,,
20220313,,430,,1390,,
20220314,,430,350,1680,830,
20220315,,440,350,1530,1160,
20220316,,440,350,1120,1100,
20220317,,420,350,820,800,
20220318,,410,350,1250,760,
20220319,,400,300,1380,560,
20220320,,400,250,1040,480,
20220321,,440,500,1400,,
20220322,,460,420,1340,,
20220323,,490,350,1360,,
20220324,,500,350,1500,,
20220325,,480,350,1510,,
20220326,,440,350,1780,,
20220327,,420,350,2100,,
20220328,,420,500,1480,,
20220329,,400,450,1510,,
20220330,,380,400,1630,,
20220331,,380,450,1540,,
20220401,,400,500,1440,380,
20220402,,420,,1250,380,
20220403,,420,,980,,
20220404,,490,410,1690,350,
20220405,,500,410,1690,350,
20220406,,480,400,1880,,
20220407,,430,400,2100,,
20220408,,380,,1940,,
20220409,,340,,1750,,
20220410,,330,,1730,,
20220411,,350,,1750,,
20220412,,370,,1720,,
20220413,440,390,,1440,,
20220414,440,400,,1180,,
20220415,,400,,1010,,
20220416,,400,250,960,,
20220417,,410,250,1090,,
20220418,,420,400,1050,510,
20220419,,420,400,1000,450,
20220420,,390,250,990,380,
20220421,,360,300,960,360,
20220422,,340,300,940,440,
20220423,,370,280,940,520,
20220424,,400,300,900,,
20220425,,550,450,1060,,
20220426,,580,380,1100,,
20220427,,570,350,1010,,
20220428,,520,350,880,,
20220429,,530,400,960,,
20220430,,520,450,920,540,
20220501,,510,400,790,540,
20220502,,480,,610,,
20220503,,480,,640,,
20220504,,480,,560,610,
20220505,,500,,500,560,
20220506,,500,,540,510,
20220507,,560,,540,620,
