일자,"경기도 남양주시
평균가격 (원/kg)","충청남도 천안시
평균가격 (원/kg)","충청남도 금산군
평균가격 (원/kg)","경기도 화성시
평균가격 (원/kg)","경기도
평균가격 (원/kg)"
20220101,,,,,
20220102,,,,,
20220103,3130,2610,,3430,3160
20220104,3130,2720,,3140,3160
20220105,2150,2780,,2940,1760
20220106,2230,2680,2470,3000,2060
20220107,2460,3100,2470,3180,2370
20220108,2780,3360,,3380,
20220109,2950,3180,,,
20220110,2660,2740,2480,3220,
20220111,2650,3030,2480,2890,
20220112,2360,3510,,2980,1570
20220113,2080,3780,2590,2960,2820
20220114,3060,3820,2590,3380,4000
20220115,3240,3780,3170,3900,3720
20220116,3420,3770,3170,3540,3500
20220117,3290,3530,3330,3910,3510
20220118,3220,3520,3330,3940,3420
20220119,3280,3540,3330,3820,3360
20220120,3200,3630,3330,3700,3320
20220121,3350,3680,,3840,3460
20220122,3700,3580,,3700,3640
20220123,3690,3490,,3440,3640
20220124,3310,3360,2510,3190,3490
20220125,2930,3260,1790,3060,3400
20220126,3380,3070,1070,3240,3300
20220127,3700,2900,3190,3080,2230
20220128,2840,3260,3190,3190,2230
20220129,2470,3620,,3180,
20220130,,3560,,2600,
20220131,,,,,
20220201,,,,,
20220202,,,,,
20220203,,,,,
20220204,,,,6880,
20220205,,2930,,6880,
20220206,,2930,,,
20220207,4260,3470,,3600,2020
20220208,4260,4070,,3660,2720
20220209,1700,3560,,3730,3430
20220210,1840,2050,,3020,3340
20220211,1970,2060,,2190,3340
20220212,,2420,,1360,
20220213,,2370,,,
20220214,2380,2330,,2970,2290
20220215,1920,2320,,2800,2290
20220216,1470,2270,,3220,
20220217,1640,2220,,3830,
20220218,1860,2820,,2990,
20220219,2090,2940,,3540,
20220220,,2420,,4090,
20220221,1380,2950,,3250,2050
20220222,1620,2950,,3060,2050
20220223,1860,2780,,2860,
20220224,,2710,,2660,3300
20220225,2440,2880,,2660,2720
20220226,2440,3320,,,2150
20220227,,3510,,,
20220228,1890,2950,,4020,1870
20220301,1890,2560,,3100,1870
20220302,2280,2700,,2740,
20220303,2280,2910,,2830,2660
20220304,,2400,,2870,2660
20220305,,2100,,3360,
20220306,,1990,,,
20220307,,2280,,2890,2500
20220308,2410,2370,,2420,2500
20220309,2410,2590,,1940,
20220310,,2640,,2420,
20220311,,2510,,2540,
20220312,2400,2940,,2670,
20220313,2400,3410,,,
20220314,2370,2530,,3060,2610
20220315,2370,2590,,3480,2610
20220316,1760,2620,,3290,
20220317,2000,2640,,2780,
20220318,2250,2680,,3080,
20220319,,2760,,3280,
20220320,,2850,,,
20220321,2500,2600,,2720,2510
20220322,2240,2280,,2440,2340
20220323,2020,2530,,2300,2180
20220324,2100,2930,,2640,
20220325,2080,2710,,2580,
20220326,1990,2740,,2320,
20220327,,2830,,,
20220328,2260,2540,,3080,2870
20220329,2100,2560,,3460,2870
20220330,2120,2680,,3830,
20220331,2240,2670,,2820,
20220401,2280,2660,,2730,
20220402,2220,2740,,2640,
20220403,2080,2700,,,
20220404,2440,2690,,3000,2580
20220405,2380,2600,,2790,2580
20220406,2370,2740,,2520,
20220407,2320,2970,,3320,
20220408,2120,2970,,3360,
20220409,1880,2890,,3560,
20220410,1700,2820,,4580,
20220411,2210,2680,2670,3410,3200
20220412,2290,2780,2670,2700,3200
20220413,2440,2920,2880,2400,
20220414,2520,2420,2880,2800,
20220415,2520,2440,2470,3460,
20220416,2520,3050,2470,4350,
20220417,,3080,,4560,
20220418,2370,3080,2520,3360,2980
20220419,2920,3160,2520,3760,2980
20220420,2740,2840,2620,3540,
20220421,2180,2710,2620,3720,2450
20220422,2380,2980,,3620,2450
20220423,2380,2480,,2740,
20220424,,1990,,,
20220425,2130,2930,,3310,2110
20220426,1920,3100,,3660,2330
20220427,1860,3180,,3780,2550
20220428,2380,2820,,2850,
