일자,"충청남도 아산시
평균가격 (원/kg)","충청남도 예산군
평균가격 (원/kg)","전라남도 해남군
평균가격 (원/kg)","충청남도 천안시
평균가격 (원/kg)","충청북도 괴산군
평균가격 (원/kg)","충청북도 청주시
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,320,1730,740,1370,1510,
20220104,340,1740,720,1370,1510,
20220105,380,1640,680,780,,1150
20220106,380,1560,640,690,,1150
20220107,380,1440,620,1080,,800
20220108,380,1180,680,1250,,800
20220109,,1080,720,950,,
20220110,350,1410,650,1270,,810
20220111,340,1520,640,1280,630,810
20220112,330,1610,610,1320,630,950
20220113,,1500,610,1380,,950
20220114,,3950,620,930,650,
20220115,,3950,640,460,650,1280
20220116,,1400,680,470,,1280
20220117,,,670,530,,750
20220118,,540,660,470,,750
20220119,,2170,650,560,,
20220120,,3800,660,710,2190,
20220121,,,680,550,1900,
20220122,,4620,720,390,1640,600
20220123,,4620,730,,1660,600
20220124,,200,650,480,720,690
20220125,,200,670,510,1270,690
20220126,,,670,800,1270,
20220127,,,650,1140,1100,
20220128,,1500,660,820,1800,580
20220129,,1600,760,410,2200,580
20220130,,1690,830,,2290,
20220131,,,,,,
20220201,,,,,,
20220202,,,,,,
20220203,,,,,,
20220204,,,720,1150,650,660
20220205,,7000,760,1150,650,660
20220206,,7000,790,,,
20220207,,,700,,,
20220208,,7120,730,1460,600,
20220209,,7120,750,980,600,2200
20220210,,6000,720,7240,,2200
20220211,,6000,720,14000,,
20220212,,1630,730,,,700
20220213,,1630,720,,,700
20220214,,4750,760,560,600,1870
20220215,,4750,740,560,600,1870
20220216,,4250,740,,,
20220217,,4250,760,,,
20220218,,5250,710,,,
20220219,,5250,740,13800,,
20220220,,,800,13800,,
20220221,,4750,710,1620,,
20220222,,4750,780,1040,,1100
20220223,940,9170,780,1060,,1100
20220224,940,4700,720,7720,,
20220225,,610,750,13800,,1600
20220226,,1000,760,2060,430,1600
20220227,,,760,2060,430,
20220228,,1720,730,1560,620,1950
20220301,,1720,750,1560,620,1950
20220302,,,800,,380,
20220303,,5620,800,,380,
20220304,,5620,790,1040,,2110
20220305,,,800,1040,,1800
20220306,,,780,,,1500
20220307,,,730,,560,
20220308,,,740,,560,
20220309,,,720,,500,
20220310,,,760,,500,
20220311,,,820,,,2550
20220312,,,830,,,2680
20220313,,,830,,,2800
20220314,,,840,,680,1460
20220315,,,800,,680,1460
20220316,,720,780,,,
20220317,,720,780,1480,720,
20220318,,1000,800,1480,720,
20220319,,1000,820,,,
20220320,,,830,,,
20220321,,,830,,,1000
20220322,,830,820,,,900
20220323,,740,800,,,800
20220324,,680,800,,,
20220325,,690,820,,,800
20220326,,,820,,,800
20220327,,,820,,,
20220328,,860,850,,,
20220329,,860,840,,,
20220330,,790,820,,,1100
20220331,,790,840,,720,1100
20220401,,730,850,,860,
20220402,,730,860,13500,780,
20220403,,,890,13500,550,
20220404,,1030,910,,,
20220405,,860,880,,,
20220406,,710,840,13500,700,1100
20220407,,740,840,13500,700,1350
20220408,,,840,,860,1600
20220409,,,820,,860,
20220410,,,810,,,
20220411,,880,880,,,
20220412,,880,870,21490,,
20220413,,,870,16650,790,
20220414,,,860,11810,790,
20220415,,,880,2680,,
20220416,,,920,3740,,
20220417,,,930,4800,,
20220418,,3000,870,,460,
20220419,840,3000,880,,460,
20220420,840,,920,,,600
20220421,,770,920,91700,760,600
20220422,,780,910,91700,760,330
20220423,590,760,880,,,330
20220424,590,750,850,,,
20220425,,960,930,,,
20220426,,940,900,,780,
20220427,,910,900,,780,
20220428,,780,870,,,
20220429,,660,840,,,
20220430,,630,880,,,1200
20220501,,610,920,,,1200
20220502,,700,930,,,
20220503,,700,880,,,
20220504,,680,840,350,,
20220505,,640,900,350,620,500
20220506,,680,1060,,620,500
20220507,,690,1180,,,
20220508,,660,1200,,,
