일자,"경상북도 김천시
평균가격 (원/kg)","경상북도 영주시
평균가격 (원/kg)","충청남도 예산군
평균가격 (원/kg)","경상북도 청송군
평균가격 (원/kg)","경상북도 안동시
평균가격 (원/kg)","충청북도 음성군
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,2750,3100,2630,3570,3200,3420
20220104,2270,2900,2620,2940,2740,3420
20220105,2020,2640,2500,2580,2320,
20220106,2160,2650,2430,2770,2310,3580
20220107,2440,2760,2530,2640,2220,3580
20220108,2720,2700,2500,2480,2240,
20220109,2630,2610,2410,2350,2270,
20220110,2270,2590,3200,3060,2390,2680
20220111,2320,2600,3060,2850,2420,2420
20220112,2780,2680,3050,2580,2430,2180
20220113,3080,3020,3540,2420,2440,2970
20220114,2960,3380,3800,2640,2600,4430
20220115,3520,3650,4030,2800,2780,5140
20220116,4080,3850,4370,2660,2810,5170
20220117,3740,3820,3960,3240,3200,5110
20220118,3900,3810,4060,3170,2980,5040
20220119,3710,4060,4060,3310,2910,4990
20220120,2900,4410,4020,3220,3000,5060
20220121,2960,4320,4010,3160,2980,4820
20220122,3700,4040,3880,3280,3000,4680
20220123,3900,3930,3840,3180,2960,4820
20220124,3730,3490,3540,3230,2900,4230
20220125,3840,3480,3690,2980,2740,4010
20220126,4080,3490,3760,2880,2620,4180
20220127,3840,3460,3560,3520,2760,3980
20220128,2990,3670,4040,3920,2580,3380
20220129,3260,4320,4710,5420,2700,
20220130,4010,4710,4800,6990,3070,
20220131,,,,5400,,
20220201,,,,5400,,
20220202,,,,,,
20220203,,,,,,
20220204,,2420,,3430,2430,
20220205,2830,2360,,2700,2020,
20220206,2830,2300,,1970,1600,
20220207,3310,2300,,2580,1980,
20220208,2740,2360,3430,2410,1880,
20220209,2360,2300,3320,2240,2020,3280
20220210,2440,2080,3050,2100,2020,3280
20220211,2400,1980,2580,2140,1910,3260
20220212,2460,1930,2260,2180,1960,3260
20220213,2470,1860,2250,2040,1870,
20220214,1870,1790,2330,2350,1900,
20220215,2060,1900,2180,2210,1900,2600
20220216,2200,1980,1930,2180,1940,2600
20220217,2100,1920,2120,2180,1920,
20220218,1810,1880,2120,2230,1840,
20220219,1620,1980,1880,2220,1740,
20220220,1650,2080,1910,2040,1660,
20220221,2070,1830,1930,2240,1860,
20220222,2440,1780,2100,2190,1900,
20220223,2500,1840,2090,2170,1900,3410
20220224,2090,2050,1970,2260,1850,3410
20220225,1980,2020,1920,2220,1840,3070
20220226,2150,1960,2080,2140,1900,3070
20220227,2330,2040,2360,2160,1970,
20220228,2530,1920,2220,1930,2060,
20220301,2080,2010,2100,2250,2000,3340
20220302,1950,2010,1870,2420,1960,3210
20220303,2320,1900,2000,2290,1880,3080
20220304,2120,1920,2230,2340,1920,3450
20220305,2180,1990,2440,2320,1820,3450
20220306,2470,2040,2650,2260,1570,
20220307,2420,1930,2150,2350,1700,
20220308,2080,1960,2290,2360,1790,2940
20220309,2000,1970,2450,2420,1900,3080
20220310,2100,1940,2440,2560,1950,3220
20220311,2260,1940,2380,2600,1900,3130
20220312,2430,2000,2030,2340,1860,3020
20220313,2270,2040,1710,2120,1890,2900
20220314,2450,1990,2060,2270,1840,
20220315,2170,1840,1980,2280,1810,2750
20220316,2160,1800,2070,2200,1890,2520
20220317,2170,1820,2050,2220,1940,1900
20220318,2120,1860,1740,2320,1930,1970
20220319,2460,1820,1710,2360,1910,2590
20220320,2590,1650,1800,2400,1850,2740
20220321,1840,2030,1580,2190,1870,
20220322,2130,1900,1640,2100,1840,
20220323,2260,1940,1840,2280,1760,2830
20220324,2100,2070,1920,2410,1700,2900
20220325,2150,2070,1980,2280,1730,2820
20220326,1960,2100,2150,2160,2000,2670
20220327,1720,2110,2200,2020,2220,
20220328,2140,2020,1930,2100,1850,
20220329,2100,2080,1870,2200,1960,2110
