일자,"충청남도 논산시
평균가격 (원/kg)","서울특별시 송파구
평균가격 (원/kg)","강원도 홍천군
평균가격 (원/kg)","충청북도 충주시
평균가격 (원/kg)","강원도 강릉시
평균가격 (원/kg)","전라북도 남원시
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,5280,5220,,6490,4400,6460
20220104,5100,4770,,6600,4400,6420
20220105,4580,3840,,6170,,6030
20220106,4030,3220,,5400,,5680
20220107,3790,3190,,5140,5750,5600
20220108,3840,3380,,5180,4980,5480
20220109,3940,3450,,5280,4200,5440
20220110,4050,3800,,4970,,5840
20220111,4100,4060,,5100,3250,5820
20220112,4160,4090,,5220,3250,5760
20220113,4020,3770,,5140,4150,5720
20220114,3890,3640,,5060,3820,5840
20220115,3940,3690,,4960,3380,6040
20220116,3980,3770,,4860,3250,6130
20220117,3980,4270,,5100,,6070
20220118,3910,3850,,5060,3750,5960
20220119,3820,3540,,4930,3750,5870
20220120,3860,3580,,5000,3750,5860
20220121,3910,3360,,5060,,5820
20220122,3960,3480,,5000,,5820
20220123,4030,3750,,5020,,5810
20220124,3940,3620,,5170,,5670
20220125,3860,3720,,5210,4500,5380
20220126,3700,3960,,5020,4500,4980
20220127,3610,4040,,4720,,4500
20220128,3580,4010,,4660,3500,4270
20220129,3700,3950,,4700,3620,4690
20220130,3830,3860,,4700,3750,4970
20220131,2520,4660,,,,6120
20220201,2520,4660,,,,6120
20220202,,,,,,
20220203,,3670,,3910,,2290
20220204,3870,3530,,4680,,3560
20220205,3760,3660,,5310,,5000
20220206,3650,3920,,5160,,5180
20220207,2860,2700,,4290,,4870
20220208,2480,2440,,3860,2500,4380
20220209,1920,2020,,3110,2200,3420
20220210,1700,1840,,2700,1800,2690
20220211,1780,1970,,2460,1710,2300
20220212,1990,2230,1850,2150,,2170
20220213,2100,2360,1850,2000,,2180
20220214,2230,2450,,2360,,2400
20220215,2400,2670,,2320,2380,2400
20220216,2490,2780,,2340,2380,2450
20220217,2180,2360,1280,2240,,2500
20220218,1890,1820,1280,2010,,2410
20220219,1830,1690,,1880,,2330
20220220,1810,1780,,1830,,2350
20220221,1780,1890,,2080,,2430
20220222,1780,1820,,2010,2500,2480
20220223,1770,1760,,2060,2140,2540
20220224,1880,1900,,2080,1780,2570
20220225,2110,2190,,2120,,2690
20220226,2330,2440,2220,2130,,2800
20220227,2420,2550,2220,1990,,2800
20220228,2410,2480,,2270,,3160
20220301,2460,2660,,2360,1700,3260
20220302,2640,2720,,2560,1700,3540
20220303,2960,2800,,2990,,3860
20220304,3260,3180,,3540,2050,3960
20220305,3460,3520,3250,3920,2050,3760
20220306,3540,3680,3250,4030,,3640
20220307,2980,3050,,3560,,3420
20220308,2700,2680,,3420,2150,3260
20220309,2220,2060,,3000,2150,2840
20220310,1960,1740,,2530,,2540
20220311,1920,1800,,2400,2150,2520
20220312,1880,1870,1000,2470,1740,2580
20220313,1820,1800,1000,2490,1320,2640
20220314,1640,1830,,2250,,2630
20220315,1530,1680,,2180,1620,2500
20220316,1370,1380,,1960,1620,2160
20220317,1340,1420,,1790,1150,1910
20220318,1590,1900,,1830,1150,1880
20220319,1840,2110,1880,1900,,1830
20220320,1860,2060,1880,1920,,1760
20220321,1680,1940,,2030,,2010
20220322,1740,1920,,2060,,2020
20220323,1880,1950,,2430,,2190
20220324,2210,2110,,3080,,2740
20220325,2760,2440,,3740,,3500
20220326,3140,2900,2620,4240,,4220
20220327,3210,3160,2620,4390,,4580
20220328,3320,3070,,3960,1750,4430
20220329,3330,2900,,3830,1750,4510
20220330,3390,3080,,3640,,4600
20220331,3840,3700,,3570,2200,4280
20220401,4300,4170,,3540,2200,4070
20220402,4500,4500,3720,3640,3090,4360
20220403,4630,4640,3720,3740,3090,4550
20220404,3870,3830,,3900,3850,4610
20220405,3980,3660,,4050,3850,4930
