일자,"전라남도 무안군
평균가격 (원/kg)","전라남도 함평군
평균가격 (원/kg)","충청남도 홍성군
평균가격 (원/kg)","충청남도 논산시
평균가격 (원/kg)","전라남도 해남군
평균가격 (원/kg)","수입산
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,680,670,,,690,
20220104,700,660,1200,570,560,
20220105,690,660,1200,550,580,
20220106,660,640,,540,720,
20220107,640,620,,560,700,
20220108,600,600,,520,660,
20220109,590,590,,470,650,
20220110,670,590,,560,140,
20220111,640,580,1250,540,270,
20220112,580,580,1250,480,510,
20220113,580,540,,380,600,
20220114,580,500,,400,550,
20220115,550,490,,440,520,
20220116,550,490,,410,520,
20220117,620,510,,,,650
20220118,590,520,1220,420,490,650
20220119,560,520,1220,430,560,
20220120,560,520,,410,550,
20220121,540,510,,400,600,650
20220122,500,540,,420,580,650
20220123,480,570,,420,450,
20220124,560,510,,,480,
20220125,550,500,1150,,480,
20220126,500,460,1150,,460,
20220127,460,460,,,420,
20220128,460,480,1070,,420,
20220129,460,580,1070,,470,
20220130,460,710,,,490,
20220131,530,,,,,
20220201,530,,,,,
20220202,,,,,,
20220203,,,,,,
20220204,570,520,,,510,900
20220205,540,520,,,520,900
20220206,500,520,,,540,
20220207,540,510,,,490,
20220208,510,520,,,480,
20220209,480,500,,,440,
20220210,500,480,1030,,430,
20220211,480,470,1030,330,420,
20220212,440,540,,330,410,
20220213,440,620,,,400,
20220214,500,440,,,360,
20220215,460,430,,360,360,
20220216,480,420,,360,360,
20220217,480,420,,330,360,
20220218,440,440,,310,340,
20220219,420,420,,260,340,
20220220,350,390,,220,330,
20220221,510,390,,,340,
20220222,420,360,,320,320,
20220223,380,400,,320,280,
20220224,380,390,,,260,
20220225,350,340,,,280,
20220226,380,380,,,280,
20220227,400,420,,,280,
20220228,420,420,,,350,
20220301,400,440,,,360,
20220302,400,440,,180,410,
20220303,420,430,,280,430,
20220304,440,510,,360,400,
20220305,420,540,,330,380,
20220306,390,510,,,370,
20220307,430,580,,,360,
20220308,440,500,,110,340,
20220309,410,420,,120,300,
20220310,380,400,,120,280,
20220311,440,440,,200,240,
20220312,420,440,,180,200,
20220313,360,400,,150,190,
20220314,520,490,,,330,
20220315,540,450,,,330,
20220316,460,380,400,100,,
20220317,360,360,400,160,210,
20220318,360,370,400,180,180,
20220319,300,350,400,160,140,
20220320,270,310,400,160,130,
20220321,320,430,,180,,
20220322,360,400,400,110,,
20220323,360,340,400,100,110,
20220324,300,320,400,120,120,
20220325,320,350,400,100,150,
20220326,320,380,400,60,160,
20220327,290,380,400,20,,
20220328,390,440,,,,
20220329,420,450,,160,20,
20220330,460,560,,120,20,
20220331,460,540,,80,260,
20220401,410,450,,100,240,
20220402,400,390,,120,180,
20220403,390,310,,,150,
20220404,490,410,,100,190,
20220405,460,490,,140,280,
20220406,430,530,430,250,300,
20220407,440,600,430,320,250,
20220408,440,580,440,240,270,
20220409,400,480,440,160,290,
20220410,380,510,,,300,
20220411,480,530,,,290,
20220412,520,510,,,220,
20220413,500,540,,,190,
20220414,460,600,,,220,
20220415,600,620,,,160,
20220416,660,620,,210,310,
20220417,620,590,,210,510,
20220418,580,590,,770,470,
20220419,560,520,,720,380,
20220420,500,470,,630,300,
20220421,500,640,,520,310,
20220422,540,620,,450,,
20220423,530,540,,,270,
20220424,530,610,,,270,
20220425,640,460,,,330,
20220426,630,580,,410,330,
20220427,620,580,,300,,
20220428,640,480,,180,460,
20220429,620,540,,,480,
20220430,620,640,,,460,
20220501,650,670,,,410,
20220502,610,610,,,580,
20220503,610,590,,,560,
20220504,570,560,,,540,
20220505,510,620,,,540,
20220506,500,590,,430,530,
20220507,480,560,,430,480,
20220508,450,620,,,440,
20220509,490,510,,,470,
20220510,470,470,,,480,
20220511,440,420,,310,500,
20220512,440,440,,310,480,
20220513,460,600,,,460,
