일자,"서울특별시 도봉구
평균가격 (원/kg)","경상남도 창녕군
평균가격 (원/kg)","강원도 춘천시
평균가격 (원/kg)","충청남도 부여군
평균가격 (원/kg)","충청남도 천안시
평균가격 (원/kg)","대전광역시 동구
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,,3000,,2830,3890,3850
20220104,,2960,,2840,3620,3640
20220105,,2940,,2840,4130,3520
20220106,,2900,,2740,6480,3500
20220107,,2850,,2930,5880,3720
20220108,,2960,,3070,3780,3810
20220109,,3030,,2940,3840,3550
20220110,,3000,,3480,4520,4010
20220111,,2940,,3290,4220,4110
20220112,,3000,,2960,4150,4020
20220113,,3160,,3220,4260,3640
20220114,,3160,,3080,3940,3420
20220115,,3270,,2700,3660,3460
20220116,,3420,,2830,3550,3550
20220117,,3500,,2810,4040,3710
20220118,,3320,,2960,3810,3660
20220119,,3300,,2900,3460,3620
20220120,,3420,,2840,3300,3640
20220121,,3400,,3000,3420,3920
20220122,,3370,,3060,3800,4200
20220123,,3310,,3100,4000,4190
20220124,,3310,,3450,3950,4170
20220125,,3280,,3540,3740,4360
20220126,,3240,,3520,3930,4640
20220127,,3350,,3500,4440,5000
20220128,,3870,,3610,4820,6000
20220129,,4380,,4180,5360,6600
20220130,,4500,,4730,5650,6480
20220131,,3200,,,,3010
20220201,,3200,,,,3010
20220202,,,,,,
20220203,,,,,,
20220204,,3150,,1810,2950,3040
20220205,,2960,,2270,3110,2920
20220206,,2780,,2730,3270,2790
20220207,,2860,,2460,2890,2550
20220208,,2840,,2260,2720,2560
20220209,,2880,,1940,2690,2640
20220210,,3060,,2000,2700,2580
20220211,,3150,,2360,2700,2900
20220212,,3140,,2490,2760,3380
20220213,,3140,,2440,2710,3420
20220214,,3080,,2950,3020,2880
20220215,,3060,,2690,2900,3320
20220216,,3000,,2300,2920,3210
20220217,,2940,,2070,3070,2620
20220218,,2820,,1940,2740,2440
20220219,,2640,,1940,2720,2380
20220220,,2540,,1960,3060,2450
20220221,,2630,,2170,2680,2570
20220222,,2580,,1900,2680,2490
20220223,,2540,,1750,2620,2340
20220224,,2500,,1820,2700,2340
20220225,,2430,,1850,2640,2600
20220226,,2380,,1960,2740,2720
20220227,,2350,,2000,3010,2650
20220228,,2220,,2060,2840,2330
20220301,,2260,2150,2080,2800,2450
20220302,,2290,2150,2060,2860,2680
20220303,,2430,2610,2140,3120,2870
20220304,,2650,2610,2620,3400,3090
20220305,,2680,2810,2780,3490,3260
20220306,,2630,2810,2580,3450,3270
20220307,,2630,2000,2210,2990,2410
20220308,,2560,2000,2120,2860,2500
20220309,,2410,2170,1900,2690,2480
20220310,,2260,2170,1860,2710,2380
20220311,,2150,2280,2000,2840,2520
20220312,,2020,2260,2040,3020,2550
20220313,,1950,2240,2040,3100,2440
20220314,,1830,1950,1780,2500,2060
20220315,,1850,1950,1590,2600,2280
20220316,,1940,2310,1680,2830,2630
20220317,,2310,2310,2050,3090,2790
20220318,,2780,2640,2220,3310,2860
20220319,,2820,2590,2150,3340,2800
20220320,,2710,2540,2010,3270,2710
20220321,,2570,2260,2230,3290,2660
20220322,,2640,2260,2360,3570,2960
20220323,,2860,2660,2430,3810,3280
20220324,,3130,2830,2620,3800,3170
20220325,,3200,2980,2800,3910,3170
20220326,,3140,3070,2620,3860,3300
20220327,,3150,3170,2530,3730,3300
20220328,,2940,2390,2400,3340,2790
20220329,,2920,2390,2440,3520,2920
20220330,,2860,2510,2540,3510,2980
20220331,,2650,2510,2460,3150,2600
20220401,,2350,2010,2080,2740,2180
20220402,,2100,1820,1790,2240,1700
20220403,,1970,1620,1740,2000,1310
20220404,,1750,1600,1610,1900,1690
20220405,,1760,1650,1620,1950,1780
20220406,,1780,1680,1700,2100,1880
20220407,,1840,1870,1800,2170,1940
20220408,,1940,1950,1790,2160,1980
20220409,,1890,1920,1820,2200,1960
