일자,"강원도 춘천시
평균가격 (원/kg)","충청북도 괴산군
평균가격 (원/kg)","수입산
평균가격 (원/kg)","충청북도 청주시
평균가격 (원/kg)","경기도 이천시
평균가격 (원/kg)","충청북도 청원군
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,,,2310,3260,,2870
20220104,2400,1080,2380,3090,,3010
20220105,2400,1080,2440,3040,320,3240
20220106,,,2500,2890,320,2680
20220107,,1180,2470,1960,,2690
20220108,,1180,2420,1820,,3280
20220109,,,2480,2340,,3230
20220110,,,2200,3480,,3580
20220111,,,2320,3360,,3340
20220112,,,2400,2940,,3150
20220113,,,2400,2880,,3300
20220114,,1280,2380,3300,,3560
20220115,,1280,2380,3440,,3560
20220116,,,2440,,,3390
20220117,,,2310,,,3340
20220118,,,2360,,20000,3220
20220119,,,2360,9970,20000,3240
20220120,,,2340,6780,,3600
20220121,,1350,2260,3580,,4420
20220122,,1350,2320,5870,,4660
20220123,,,2470,5870,,4280
20220124,,,2250,8850,,3930
20220125,,1130,2100,6230,,3930
20220126,,1130,1830,3520,,3190
20220127,,,1610,3440,,4840
20220128,,,1520,,,5360
20220129,,,1490,,,3790
20220130,,,1450,,,3360
20220131,,,,,,
20220201,,,,,,
20220202,,,,,,
20220203,,,2100,,,
20220204,,,1770,890,,2910
20220205,,,1440,1500,25000,3200
20220206,,,1430,2100,25000,3500
20220207,13240,,1440,10000,,2920
20220208,15680,,1450,12530,16370,4480
20220209,17180,10000,1450,12060,16350,4380
20220210,16240,10000,1450,9050,8500,5950
20220211,18350,,1480,,610,6580
20220212,18350,8290,1500,3790,10900,3980
20220213,,8290,1510,3790,21250,
20220214,7000,,1520,,2250,2650
20220215,7000,,1540,,2250,2650
20220216,,,1400,3160,,3020
20220217,,,1360,3090,,3020
20220218,,,1450,3020,,3240
20220219,,,1420,3110,,3240
20220220,,,1420,3110,,
20220221,,,1270,,,3040
20220222,,,1360,1600,,3210
20220223,,,1440,2260,,3320
20220224,,,1430,2910,,2990
20220225,,,1420,2570,,2990
20220226,,,1400,2740,,3250
20220227,,,1390,2900,,
20220228,,,1410,2760,2250,2910
20220301,,,1420,2820,2250,3030
20220302,,,1440,2940,,3340
20220303,,,1460,2900,,3440
20220304,,,1470,2760,,3360
20220305,,,1480,2820,,3240
20220306,,,1490,2910,,3110
20220307,,,1450,2650,,3140
20220308,,,1490,2540,,3100
20220309,,,1520,2420,,3160
20220310,,,1500,2410,,3040
20220311,,,1500,2620,,2780
20220312,,,1520,2670,,2640
20220313,,,1510,2520,,2540
20220314,,,1480,2270,,2230
20220315,,,1500,2140,2250,2280
20220316,,,1510,2210,2320,2320
20220317,,,1470,2470,2400,2460
20220318,,,1460,2540,,2660
20220319,,,1460,2380,,2690
20220320,,,1460,2220,,2680
20220321,,,1490,2650,,2880
20220322,,,1480,2740,,2920
20220323,,,1460,2740,,2980
20220324,,,1490,2800,,3020
20220325,,,1520,2890,,3050
20220326,,,1480,2730,,2960
20220327,,,1450,2630,,2880
20220328,,,1450,2610,,2800
20220329,,,1480,2470,,2740
20220330,,,1490,2300,,2630
20220331,,,1440,2320,,2560
20220401,,,1430,2320,,2480
20220402,,,1480,2200,,2320
20220403,,,1500,2130,,2200
20220404,,,1530,2040,,2280
20220405,,,1480,2120,,2350
20220406,,,1580,2160,,2380
20220407,,,1670,2120,,2300
20220408,,1130,1760,2060,,2190
20220409,2480,1130,1910,1940,,2000
20220410,2480,,1920,1860,,1890
20220411,,,1930,1510,,1660
20220412,,,1940,1440,2500,1600
20220413,,,1940,1340,2500,1500
20220414,,,1960,1300,,1440
20220415,,,2000,1360,,1520
20220416,,,1980,1460,,1720
20220417,,,1960,1510,,1820
20220418,,,1970,1740,,2090
20220419,,,1960,1720,2500,1940
20220420,,,1920,1680,2500,1760
20220421,,,1850,1550,1920,1700
