"시도별",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"시도별",과채류:면적 (ha),과채류:생산량 (톤),수박:면적 (ha),수박:생산량 (톤),노지수박:면적 (ha),노지수박:10a당 생산량 (kg),노지수박:생산량 (톤),시설수박:면적 (ha),시설수박:10a당 생산량 (kg),시설수박:생산량 (톤),참외:면적 (ha),참외:생산량 (톤),노지참외:면적 (ha),노지참외:10a당 생산량 (kg),노지참외:생산량 (톤),시설참외:면적 (ha),시설참외:10a당 생산량 (kg),시설참외:생산량 (톤),딸기:면적 (ha),딸기:생산량 (톤),노지딸기:면적 (ha),노지딸기:10a당 생산량 (kg),노지딸기:생산량 (톤),시설딸기:면적 (ha),시설딸기:10a당 생산량 (kg),시설딸기:생산량 (톤),오이:면적 (ha),오이:생산량 (톤),노지오이:면적 (ha),노지오이:10a당 생산량 (kg),노지오이:생산량 (톤),시설오이:면적 (ha),시설오이:10a당 생산량 (kg),시설오이:생산량 (톤),호박:면적 (ha),호박:생산량 (톤),노지호박:면적 (ha),노지호박:10a당 생산량 (kg),노지호박:생산량 (톤),시설호박:면적 (ha),시설호박:10a당 생산량 (kg),시설호박:생산량 (톤),토마토:면적 (ha),토마토:생산량 (톤),노지토마토:면적 (ha),노지토마토:10a당 생산량 (kg),노지토마토:생산량 (톤),시설토마토:면적 (ha),시설토마토:10a당 생산량 (kg),시설토마토:생산량 (톤),과채류:면적 (ha),과채류:생산량 (톤),수박:면적 (ha),수박:생산량 (톤),노지수박:면적 (ha),노지수박:10a당 생산량 (kg),노지수박:생산량 (톤),시설수박:면적 (ha),시설수박:10a당 생산량 (kg),시설수박:생산량 (톤),참외:면적 (ha),참외:생산량 (톤),노지참외:면적 (ha),노지참외:10a당 생산량 (kg),노지참외:생산량 (톤),시설참외:면적 (ha),시설참외:10a당 생산량 (kg),시설참외:생산량 (톤),딸기:면적 (ha),딸기:생산량 (톤),노지딸기:면적 (ha),노지딸기:10a당 생산량 (kg),노지딸기:생산량 (톤),시설딸기:면적 (ha),시설딸기:10a당 생산량 (kg),시설딸기:생산량 (톤),오이:면적 (ha),오이:생산량 (톤),노지오이:면적 (ha),노지오이:10a당 생산량 (kg),노지오이:생산량 (톤),시설오이:면적 (ha),시설오이:10a당 생산량 (kg),시설오이:생산량 (톤),호박:면적 (ha),호박:생산량 (톤),노지호박:면적 (ha),노지호박:10a당 생산량 (kg),노지호박:생산량 (톤),시설호박:면적 (ha),시설호박:10a당 생산량 (kg),시설호박:생산량 (톤),토마토:면적 (ha),토마토:생산량 (톤),노지토마토:면적 (ha),노지토마토:10a당 생산량 (kg),노지토마토:생산량 (톤),시설토마토:면적 (ha),시설토마토:10a당 생산량 (kg),시설토마토:생산량 (톤),과채류:면적 (ha),과채류:생산량 (톤),수박:면적 (ha),수박:생산량 (톤),노지수박:면적 (ha),노지수박:10a당 생산량 (kg),노지수박:생산량 (톤),시설수박:면적 (ha),시설수박:10a당 생산량 (kg),시설수박:생산량 (톤),참외:면적 (ha),참외:생산량 (톤),노지참외:면적 (ha),노지참외:10a당 생산량 (kg),노지참외:생산량 (톤),시설참외:면적 (ha),시설참외:10a당 생산량 (kg),시설참외:생산량 (톤),딸기:면적 (ha),딸기:생산량 (톤),노지딸기:면적 (ha),노지딸기:10a당 생산량 (kg),노지딸기:생산량 (톤),시설딸기:면적 (ha),시설딸기:10a당 생산량 (kg),시설딸기:생산량 (톤),오이:면적 (ha),오이:생산량 (톤),노지오이:면적 (ha),노지오이:10a당 생산량 (kg),노지오이:생산량 (톤),시설오이:면적 (ha),시설오이:10a당 생산량 (kg),시설오이:생산량 (톤),호박:면적 (ha),호박:생산량 (톤),노지호박:면적 (ha),노지호박:10a당 생산량 (kg),노지호박:생산량 (톤),시설호박:면적 (ha),시설호박:10a당 생산량 (kg),시설호박:생산량 (톤),토마토:면적 (ha),토마토:생산량 (톤),노지토마토:면적 (ha),노지토마토:10a당 생산량 (kg),노지토마토:생산량 (톤),시설토마토:면적 (ha),시설토마토:10a당 생산량 (kg),시설토마토:생산량 (톤),과채류:면적 (ha),과채류:생산량 (톤),수박:면적 (ha),수박:생산량 (톤),노지수박:면적 (ha),노지수박:10a당 생산량 (kg),노지수박:생산량 (톤),시설수박:면적 (ha),시설수박:10a당 생산량 (kg),시설수박:생산량 (톤),참외:면적 (ha),참외:생산량 (톤),노지참외:면적 (ha),노지참외:10a당 생산량 (kg),노지참외:생산량 (톤),시설참외:면적 (ha),시설참외:10a당 생산량 (kg),시설참외:생산량 (톤),딸기:면적 (ha),딸기:생산량 (톤),노지딸기:면적 (ha),노지딸기:10a당 생산량 (kg),노지딸기:생산량 (톤),시설딸기:면적 (ha),시설딸기:10a당 생산량 (kg),시설딸기:생산량 (톤),오이:면적 (ha),오이:생산량 (톤),노지오이:면적 (ha),노지오이:10a당 생산량 (kg),노지오이:생산량 (톤),시설오이:면적 (ha),시설오이:10a당 생산량 (kg),시설오이:생산량 (톤),호박:면적 (ha),호박:생산량 (톤),노지호박:면적 (ha),노지호박:10a당 생산량 (kg),노지호박:생산량 (톤),시설호박:면적 (ha),시설호박:10a당 생산량 (kg),시설호박:생산량 (톤),토마토:면적 (ha),토마토:생산량 (톤),노지토마토:면적 (ha),노지토마토:10a당 생산량 (kg),노지토마토:생산량 (톤),시설토마토:면적 (ha),시설토마토:10a당 생산량 (kg),시설토마토:생산량 (톤)
"계",42078,1880890,11814,476634,2367,3234,76543,9447,4235,400091,3614,130528,145,2138,3104,3469,3674,127424,6062,183639,93,1885,1745,5969,3047,181894,5323,391214,1160,4212,48849,4164,8222,342365,9206,310218,6299,2731,172052,2907,4753,138166,6058,388657,0,0,0,6058,6415,388657,42623,1928430,11972,475815,2648,3190,84469,9325,4197,391346,3648,150234,159,2007,3194,3488,4215,147040,6462,234225,41,2283,934,6421,3633,233291,4962,366065,999,4129,41250,3963,8196,324815,9874,343511,6814,2609,177795,3060,5416,165716,5706,358580,0,0,0,5706,6284,358580,40667,1784019,11580,466529,2623,3141,82398,8957,4288,384131,3596,148875,186,2071,3856,3409,4254,145019,5683,163646,49,2280,1126,5634,2885,162520,4721,335596,1069,4081,43638,3652,7995,291958,9565,325325,6781,2565,173951,2784,5437,151374,5521,344048,0,0,0,5521,6231,344048,40858,1761337,11748,489029,2228,3476,77456,9520,4323,411573,4653,198598,212,1990,4214,4441,4377,194384,6103,177480,46,1970,909,6057,2915,176571,4121,283933,1113,3997,44501,3008,7960,239432,8222,242914,6550,2394,156820,1671,5151,86094,6010,369383,0,0,0,6010,6146,369383
"서울특별시",9,235,0,2,0,4050,1,0,2951,1,0,2,0,1966,1,0,2474,1,0,0,0,0,0,0,0,0,2,91,0,3866,11,1,5844,80,4,122,3,3156,92,1,4906,30,4,18,0,0,0,4,450,18,9,226,0,2,0,4930,2,0,0,0,0,2,0,2342,2,0,0,0,0,0,0,0,0,0,0,0,2,92,0,3015,15,1,5844,77,3,112,3,3511,97,0,4906,15,4,18,0,0,0,4,450,18,10,303,0,1,0,5035,1,0,3699,0,0,2,0,2252,2,0,2456,0,0,0,0,2066,0,0,0,0,3,173,0,3013,11,3,5844,162,3,111,3,3510,101,0,4906,10,4,16,0,0,0,4,450,16,18,290,0,8,0,5035,8,0,3705,0,0,3,0,2252,3,0,0,0,1,17,0,2066,3,0,2826,14,3,126,1,3028,36,2,5844,90,2,80,2,3520,61,0,4906,19,13,56,0,0,0,13,450,56
"부산광역시",430,27781,3,88,2,2670,47,1,3251,41,0,4,0,915,4,0,0,0,0,8,0,3240,8,0,0,0,7,488,1,5864,84,6,7111,404,56,1945,51,3284,1660,5,5666,285,363,25248,0,0,0,363,6952,25248,382,21360,9,315,2,2939,46,7,3747,269,1,8,1,1500,8,0,0,0,0,5,0,3684,5,0,0,0,5,308,2,5864,107,3,6878,201,68,2007,57,2373,1346,11,6127,661,301,18717,0,0,0,301,6226,18717,462,26768,3,113,2,3007,67,1,3733,46,1,17,1,1423,14,0,1422,3,1,42,0,3670,18,1,2759,24,4,283,1,5864,73,3,7326,210,42,1450,39,3284,1268,3,5758,182,410,24863,0,0,0,410,6058,24863,564,33273,4,120,3,3007,96,1,3763,24,1,17,1,1477,16,0,1422,1,1,27,1,3780,27,0,0,0,15,1035,5,5805,278,10,7298,757,29,972,28,3284,926,1,5758,46,514,31102,0,0,0,514,6050,31102
"대구광역시",615,33006,199,10104,0,0,0,199,5073,10104,177,7129,0,0,0,177,4034,7129,0,0,0,0,0,0,0,0,29,1729,0,0,0,29,5947,1729,43,2672,18,1706,309,25,9431,2363,167,11372,0,0,0,167,6800,11372,617,31475,210,10892,0,0,0,210,5187,10892,184,7437,0,0,0,184,4046,7437,2,62,0,0,0,2,3403,62,11,809,0,3252,16,11,7402,793,24,1723,8,2023,154,16,9575,1569,186,10552,0,0,0,186,5682,10552,555,27423,187,9697,0,2734,1,187,5191,9696,175,7051,1,1423,14,174,4039,7037,0,0,0,0,0,0,0,0,12,853,1,3327,19,11,7402,834,30,1393,20,2033,407,10,9575,986,150,8429,0,0,0,150,5608,8429,386,20337,183,9495,1,3160,19,183,5191,9476,69,2767,0,1428,2,68,4039,2765,5,165,1,1122,6,5,3403,159,69,5000,2,3327,65,67,7402,4935,29,1120,21,2033,435,7,9575,685,32,1790,0,0,0,32,5589,1790
"인천광역시",283,11817,5,186,4,4050,142,1,3698,44,10,200,9,1966,184,1,2474,16,31,792,1,2100,12,31,2527,780,100,4470,38,3866,1451,62,4861,3019,84,2678,81,3200,2607,2,3149,71,54,3491,0,0,0,54,6515,3491,310,14453,18,736,5,4930,268,12,3755,468,21,497,18,2342,429,3,2485,68,24,601,5,2066,97,19,2602,504,89,4556,17,3015,517,72,5587,4039,79,2515,77,3200,2455,2,3172,60,79,5548,0,0,0,79,7021,5548,289,13607,20,830,7,5035,371,12,3755,459,16,370,13,2252,301,3,2456,69,26,659,2,2066,42,24,2601,617,83,4245,13,3013,394,70,5540,3851,71,2267,70,3200,2237,1,3172,30,74,5236,0,0,0,74,7033,5236,218,10147,27,1138,9,5035,474,18,3755,664,15,351,12,2252,277,3,2456,74,3,62,3,2066,53,0,2599,9,44,2091,15,3028,439,30,5532,1652,66,2055,64,3130,2005,2,3163,50,63,4450,0,0,0,63,7045,4450
"광주광역시",306,17047,83,1519,56,1510,849,27,2523,670,3,74,3,2808,74,0,0,0,49,1809,0,0,0,49,3720,1809,3,239,1,8161,50,3,6622,189,46,1653,15,2571,374,31,4121,1279,123,11753,0,0,0,123,9538,11753,305,14939,80,1549,53,1508,806,26,2843,743,1,18,1,1500,14,0,3231,4,72,2662,0,3343,2,72,3679,2660,18,1189,1,6088,35,18,6588,1154,39,1799,10,2561,249,29,5287,1550,95,7722,0,0,0,95,8130,7722,254,11823,55,845,53,1508,799,2,2705,46,3,42,3,1183,41,0,2977,1,64,2180,0,1803,0,64,3392,2180,21,1364,1,6088,73,20,6391,1291,20,763,10,2442,237,10,5112,526,90,6629,0,0,0,90,7329,6629,341,15760,89,1580,70,1508,1056,19,2711,524,1,12,1,1477,12,0,0,0,18,620,0,1804,0,18,3388,620,16,1044,1,6088,45,16,6390,999,75,2253,60,2442,1468,15,5114,785,140,10251,0,0,0,140,7298,10251
"대전광역시",65,2661,4,174,0,3424,5,4,3992,169,1,19,0,2808,2,1,2399,17,0,0,0,0,0,0,0,0,33,1358,0,4915,6,32,4161,1352,7,230,3,3000,89,4,3684,141,21,880,0,0,0,21,4207,880,98,4097,0,9,0,4975,9,0,0,0,0,5,0,3005,5,0,0,0,0,5,0,6951,3,0,1404,2,37,1621,1,4676,51,36,4351,1570,24,765,19,3000,567,5,3684,198,36,1692,0,0,0,36,4711,1692,113,4553,0,17,0,5200,17,0,0,0,0,13,0,3133,12,0,2756,1,0,0,0,0,0,0,0,0,44,1916,1,4709,25,44,4335,1891,39,1210,32,3000,967,7,3684,243,30,1397,0,0,0,30,4706,1397,140,5135,1,60,1,6223,48,0,5303,12,1,14,1,1515,11,0,2756,3,15,220,1,1732,12,15,1413,208,55,2390,2,4696,78,54,4308,2312,41,1241,41,2980,1214,1,3729,27,26,1210,0,0,0,26,4611,1210
"울산광역시",121,2426,6,166,6,2670,163,0,3251,3,3,29,3,915,29,0,0,0,16,393,1,3240,41,15,2371,352,8,284,4,2362,92,4,4438,192,85,1437,85,1681,1436,0,3604,1,2,117,0,0,0,2,5150,117,118,2667,6,168,6,2939,168,0,0,0,4,35,4,915,35,0,0,0,18,410,1,3684,29,17,2238,381,8,301,3,2362,68,5,4484,233,77,1397,77,1803,1397,0,0,0,5,356,0,0,0,5,6470,356,106,2150,5,168,4,3007,124,1,3733,44,2,18,2,915,18,0,1422,0,22,471,2,3670,56,20,2074,415,4,83,4,2362,83,0,0,0,72,1304,72,1803,1304,0,0,0,2,106,0,0,0,2,6606,106,137,4126,8,254,8,3007,253,0,3763,1,5,76,4,1477,62,1,1422,14,2,63,2,3780,63,0,2150,0,13,393,9,2362,212,4,4575,181,79,1427,79,1814,1425,0,4082,2,30,1913,0,0,0,30,6360,1913
