"시도별",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"시도별",근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤)
"계",25559,1307704,23406,1234561,22427,5327,1194716,8768,3845,337108,5868,4116,241534,2900,3296,95574,6095,7663,467104,5045,8261,416782,1050,4792,50323,7564,5163,390504,979,4071,39845,2154,3396,73143,21572,1178197,19503,1110874,18953,5734,1086683,7728,3772,291506,5383,3878,208787,2345,3528,82719,5344,7575,404804,4462,8076,360347,881,5043,44456,5881,6638,390373,550,4398,24191,2069,3254,67327,23473,1279506,20519,1178631,19550,5812,1136321,7817,3974,310617,5025,3922,197063,2792,4067,113554,5147,7705,396605,4633,8039,372436,515,4696,24169,6586,6516,429099,969,4365,42310,2954,3415,100875,23248,1284450,20272,1172345,19593,5830,1142246,7786,4038,314417,5017,4002,200799,2769,4103,113618,5919,7359,435551,4930,7829,385948,989,5017,49604,5888,6662,392278,679,4433,30099,2976,3767,112105,6340,483819,6340,483819,6340,7631,483819,0,0,0,0,0,0,0,0,0,6340,7631,483819,5226,8128,424785,1114,5299,59034,0,0,0,0,0,0,0,0,0
"서울특별시",4,309,4,308,4,7488,292,0,0,0,0,0,0,0,0,0,4,7476,292,3,8137,244,1,5260,47,0,0,0,0,3883,16,0,3329,1,3,346,3,345,3,11918,318,0,5780,1,0,3856,1,0,0,0,3,11958,317,2,13778,287,1,5232,30,0,0,0,1,4006,27,0,3023,1,9,379,8,335,6,4526,255,1,3870,56,0,3832,1,1,3856,55,3,6530,180,2,7864,124,1,4752,56,1,1337,19,2,3600,80,1,3023,44,10,578,10,575,10,5714,553,4,3810,134,4,3818,134,0,0,0,6,6800,419,4,7412,316,2,5424,103,0,0,0,1,4006,22,0,3063,3,4,312,4,312,4,7242,312,0,0,0,0,0,0,0,0,0,4,7242,312,4,7615,278,1,5161,34,0,0,0,0,0,0,0,0,0
"부산광역시",55,3496,44,3208,42,7403,3093,6,3460,208,6,3465,208,0,0,0,36,8065,2885,35,8150,2852,1,4207,32,0,0,0,3,4400,115,10,2753,288,43,3081,38,2948,35,7951,2812,5,3844,211,5,3847,211,0,0,0,30,8706,2601,30,8706,2601,0,0,0,0,0,0,3,4400,136,5,2764,137,79,6020,66,5556,56,9070,5120,12,3836,462,12,3840,447,0,3897,15,44,10543,4640,44,10543,4640,0,0,0,0,4572,18,10,4375,436,12,3721,464,127,6051,35,2627,33,7919,2602,5,3852,198,5,3861,198,0,0,0,28,8673,2404,27,8861,2365,1,3763,38,0,0,0,2,1321,25,92,3721,3424,39,2984,39,2984,39,7682,2984,0,0,0,0,0,0,0,0,0,39,7682,2984,39,7682,2984,0,0,0,0,0,0,0,0,0,0,0,0
"대구광역시",98,5497,97,5474,88,6021,5272,64,5217,3320,64,5217,3320,0,0,0,24,8161,1952,24,8161,1952,0,0,0,0,0,0,9,2200,202,1,1844,23,88,4474,88,4474,88,5081,4467,58,4304,2497,58,4303,2497,0,0,0,30,6591,1970,29,6692,1935,1,3561,34,0,0,0,0,3260,7,0,0,0,65,3331,65,3312,63,5169,3262,41,4303,1783,41,4303,1783,0,0,0,22,6825,1479,22,6842,1473,0,4374,7,0,0,0,2,3236,50,1,2642,19,31,2480,28,2417,27,8879,2366,1,4324,62,1,4303,62,0,0,0,25,9138,2304,25,9161,2300,0,3763,4,0,0,0,2,3236,51,2,2662,63,31,2268,31,2268,31,7246,2268,0,0,0,0,0,0,0,0,0,31,7246,2268,31,7246,2268,0,0,0,0,0,0,0,0,0,0,0,0
"인천광역시",107,10393,105,10342,104,9880,10293,5,4573,248,5,4564,248,0,0,0,99,10172,10045,91,10510,9600,7,6008,445,0,0,0,1,4400,49,2,3329,51,102,10212,100,10147,99,10212,10112,8,3860,325,8,3856,325,0,0,0,91,10802,9787,81,11304,9165,10,6531,622,0,0,0,1,4006,35,2,3023,65,111,10053,106,9883,103,9508,9782,12,3829,441,11,3832,423,0,3856,18,91,10269,9335,79,10767,8548,12,6837,787,0,1337,6,3,3600,101,6,3023,170,107,8857,103,8744,103,8486,8739,2,3827,71,2,3818,71,0,0,0,101,8572,8668,82,9218,7573,19,5773,1095,0,0,0,0,4006,5,4,3063,113,96,7837,96,7837,96,8132,7837,0,0,0,0,0,0,0,0,0,96,8132,7837,75,8758,6559,21,5950,1277,0,0,0,0,0,0,0,0,0
"광주광역시",96,6567,96,6566,79,7185,5652,23,3500,816,23,3500,816,0,0,0,55,8736,4836,55,8736,4836,0,0,0,0,0,0,17,5370,914,0,1193,1,112,7967,112,7962,93,7397,6856,13,3502,441,13,3500,441,0,0,0,80,8009,6415,80,8016,6409,0,4106,6,0,0,0,19,5755,1106,0,1193,5,45,2954,45,2948,31,6932,2183,5,3510,166,5,3500,166,0,0,0,27,7537,2017,27,7537,2017,0,0,0,0,0,0,13,5755,765,0,1193,6,130,9085,129,9082,112,7218,8114,13,3498,466,13,3500,466,0,0,0,99,7718,7648,99,7718,7648,0,0,0,0,0,0,17,5688,968,0,1193,3,142,14673,142,14673,142,10333,14673,0,0,0,0,0,0,0,0,0,142,10333,14673,142,10333,14673,0,0,0,0,0,0,0,0,0,0,0,0
"대전광역시",24,1414,23,1408,23,6035,1408,5,2730,135,5,2730,135,0,0,0,18,6924,1273,18,6935,1268,0,4899,5,0,0,0,0,0,0,0,3802,6,24,1424,24,1422,24,5856,1412,6,3076,183,6,3083,183,0,0,0,18,6767,1229,17,6856,1165,1,5458,64,0,0,0,0,4504,10,0,2890,2,22,1358,19,1289,19,6655,1289,5,3120,166,5,3083,161,0,5401,5,14,8043,1122,12,8609,1026,2,4724,96,0,1337,1,0,0,0,2,2890,69,26,1552,25,1516,22,6317,1409,3,3073,102,3,3083,102,0,0,0,19,6884,1307,17,7083,1171,2,5545,136,0,0,0,2,4659,107,1,2851,36,25,1648,25,1648,25,6506,1648,0,0,0,0,0,0,0,0,0,25,6506,1648,24,6556,1587,1,5414,61,0,0,0,0,0,0,0,0,0
"울산광역시",68,5675,68,5665,61,8800,5388,3,1958,64,3,1966,64,0,0,0,58,9185,5324,58,9190,5322,0,4207,2,0,0,0,7,4250,277,0,4339,10,70,3253,68,3191,54,4943,2670,26,1482,389,26,1482,389,0,0,0,28,8213,2281,28,8213,2281,0,0,0,0,0,0,14,3600,521,1,4130,62,57,3343,56,3293,45,6449,2913,6,1478,87,6,1482,87,0,0,0,39,7194,2826,39,7201,2821,0,4374,4,0,0,0,11,3600,380,1,4131,50,45,3310,41,3137,40,7684,3112,0,1766,3,0,1482,3,0,0,0,40,7709,3109,40,7721,3104,0,3763,5,0,0,0,1,3634,25,4,4133,173,54,4188,54,4188,54,7685,4188,0,0,0,0,0,0,0,0,0,54,7685,4188,54,7690,4185,0,4427,3,0,0,0,0,0,0,0,0,0
