"시점",생활물가지수,식품,식품 이외,전월세,전·월세포함 생활물가지수
"2018. 01",103.50,106.68,101.89,105.40,103.93
"2018. 02",104.42,108.98,102.10,105.47,104.65
"2018. 03",104.24,108.46,102.10,105.54,104.53
"2018. 04",104.24,108.32,102.18,105.66,104.56
"2018. 05",104.22,108.18,102.22,105.71,104.57
"2018. 06",103.89,107.01,102.31,105.72,104.31
"2018. 07",103.55,107.48,101.55,105.72,104.05
"2018. 08",104.78,110.85,101.72,105.82,105.01
"2018. 09",106.09,113.08,102.57,105.88,106.04
"2018. 10",105.50,110.70,102.88,105.92,105.59
"2018. 11",104.70,109.17,102.46,105.95,104.99
"2018. 12",104.20,108.97,101.79,105.97,104.61
"2019. 01",104.13,109.36,101.49,106.01,104.56
"2019. 02",104.84,109.59,102.44,106.04,105.10
"2019. 03",104.56,108.96,102.35,106.04,104.90
"2019. 04",104.88,109.71,102.44,106.05,105.15
"2019. 05",105.16,109.58,102.92,106.04,105.35
"2019. 06",105.07,109.26,102.95,106.00,105.28
"2019. 07",104.30,108.54,102.17,106.04,104.70
"2019. 08",104.73,109.73,102.20,106.04,105.02
"2019. 09",105.59,111.71,102.50,106.06,105.68
"2019. 10",105.93,112.30,102.72,106.14,105.97
"2019. 11",105.36,110.58,102.72,106.20,105.55
"2019. 12",105.50,110.79,102.83,106.24,105.66
"2020. 01",106.24,111.90,103.39,106.32,106.25
"2020. 02",106.33,111.74,103.60,106.40,106.34
"2020. 03",106.42,112.60,103.30,106.50,106.43
"2020. 04",105.50,112.48,101.98,106.58,105.75
"2020. 05",104.91,112.14,101.27,106.74,105.33
"2020. 06",105.22,112.37,101.63,106.80,105.58
"2020. 07",104.58,112.50,100.59,106.88,105.10
"2020. 08",105.40,114.62,100.74,107.01,105.77
"2020. 09",106.40,117.52,100.79,107.09,106.54
"2020. 10",104.96,117.37,98.71,107.22,105.48
"2020. 11",105.11,114.32,100.46,107.37,105.63
"2020. 12",105.18,113.71,100.89,107.51,105.72
"2021. 01",106.18,115.47,101.51,107.63,106.51
"2021. 02",107.14,117.59,101.88,107.78,107.28
"2021. 03",107.36,117.35,102.33,108.01,107.50
"2021. 04",107.42,117.31,102.43,108.17,107.58
"2021. 05",107.32,116.84,102.52,108.32,107.54
"2021. 06",107.20,116.21,102.66,108.40,107.48
"2021. 07",107.04,116.29,102.37,108.53,107.37
"2021. 08",107.84,118.20,102.62,108.71,108.04
"2021. 09",108.83,119.77,103.32,108.94,108.84
"2021. 10",108.97,119.00,103.91,109.18,109.01
"2021. 11",109.49,119.73,104.32,109.52,109.49
"2021. 12",103.81,106.13,102.34,102.68,103.53
"2022. 01",104.55,106.77,103.14,102.79,104.11
"2022. 02",105.62,107.98,104.13,102.92,104.95
"2022. 03",106.46,108.54,105.15,103.01,105.60
"2022. 04",107.24,109.32,105.93,103.10,106.21
"2022. 05",108.15,110.97,106.37,103.21,106.91
"2022. 06",108.91,111.31,107.39,103.26,107.50
"2022. 07",109.56,113.09,107.33,103.36,108.01
"2022. 08",109.48,114.13,106.54,103.49,107.98
"2022. 09",110.10,115.03,106.99,103.61,108.47
"2022. 10",110.36,113.90,108.12,103.71,108.69
"2022. 11",109.95,112.39,108.42,103.84,108.42
"2022. 12",110.25,113.10,108.45,103.92,108.67
"2023. 01",111.44,114.42,109.55,103.99,109.57
"2023. 02",112.01,114.93,110.16,103.98,110.00
"2023. 03",112.21,115.61,110.06,103.91,110.13
