계정코드별,단위,2017-01 ,2017-02 ,2017-03 ,2017-04 ,2017-05 ,2017-06 ,2017-07 ,2017-08 ,2017-09 ,2017-10 ,2017-11 ,2017-12 ,2018-01 ,2018-02 ,2018-03 ,2018-04 ,2018-05 ,2018-06 ,2018-07 ,2018-08 ,2018-09 ,2018-10 ,2018-11 ,2018-12 ,2019-01 ,2019-02 ,2019-03 ,2019-04 ,2019-05 ,2019-06 ,2019-07 ,2019-08 ,2019-09 ,2019-10 ,2019-11 ,2019-12 ,2020-01 ,2020-02 ,2020-03 ,2020-04 ,2020-05 ,2020-06 ,2020-07 ,2020-08 ,2020-09 ,2020-10 ,2020-11 ,2020-12 ,2021-01 ,2021-02 ,2021-03 ,2021-04 ,2021-05 ,2021-06 ,2021-07 ,2021-08 ,2021-09 ,2021-10 ,2021-11 ,2021-12 ,2022-01 ,2022-02 ,2022-03 ,2022-04 ,2022-05 ,2022-06 ,2022-07 ,2022-08 ,2022-09 ,2022-10 ,2022-11 ,2022-12 
총지수,2015=100,105.75,103.51,101.29,101.72,100.28,99.07,99.57,101.13,102.92,103.5,103.25,102.53,103.37,103.84,104.39,105.53,108.64,110.01,111.5,111.18,113.03,115.02,109.36,105.31,105.14,107.47,109.28,111.21,113.57,109.36,110.23,111.01,110.73,108.14,107.11,108.83,107.94,106.39,100.7,95.01,98.82,101.26,100.42,99.34,98.23,96.06,96.05,98.02,101.64,106.12,109.81,109.56,112.81,115.88,120.05,121.61,124.4,130.92,129.63,127.04,132.67,138.73,149.23,148.38,154.0,154.87,150.78,149.46,154.51,156.3,147.72,138.11
쌀,2015=100,94.14,90.95,90.99,90.82,88.99,89.36,89.71,89.07,89.13,89.13,93.6,92.65,91.02,92.12,91.46,91.11,90.32,91.69,95.9,96.43,96.38,97.25,97.07,95.86,96.28,96.32,97.04,97.91,101.54,102.75,102.72,105.67,104.99,101.89,100.05,100.38,99.76,102.29,106.06,106.5,106.8,105.58,104.61,103.55,106.04,102.97,100.45,97.85,98.07,102.33,104.17,108.87,110.94,110.75,112.99,114.6,117.46,119.73,119.74,119.82,120.86,121.31,123.59,129.79,133.8,134.58,137.7,138.86,146.56,149.03,142.5,135.41
밀,2015=100,93.27,91.48,88.86,85.87,85.28,88.52,99.95,92.09,92.6,91.5,88.23,85.92,85.83,89.2,89.86,90.47,92.67,92.35,94.9,96.45,94.09,95.37,95.32,94.48,94.26,94.16,93.35,92.08,94.55,96.32,94.81,94.01,93.44,97.66,97.18,99.37,100.28,101.23,102.31,102.92,102.29,98.86,98.95,99.07,102.32,106.65,103.35,100.33,106.04,108.34,106.88,107.11,114.11,118.9,128.18,145.94,154.42,157.55,164.82,163.82,163.64,166.85,194.65,198.21,209.05,198.68,178.43,175.45,190.21,191.72,180.56,165.87
옥수수,2015=100,100.47,99.28,97.81,94.91,93.71,92.79,94.56,94.77,95.04,94.84,93.26,92.58,93.46,97.6,103.49,103.16,103.62,104.72,108.28,106.03,105.48,105.71,106.14,105.2,105.92,102.75,100.88,101.93,112.09,113.88,111.82,110.24,110.3,109.43,107.69,110.64,110.13,110.75,106.6,103.59,106.5,106.66,109.2,109.18,120.66,125.73,123.74,124.96,134.42,146.19,151.38,155.2,160.99,156.18,163.46,168.17,170.25,174.38,170.0,171.86,177.62,204.86,204.02,205.66,214.43,200.51,195.08,201.08,210.86,216.94,206.44,197.74
콩,2015=100,107.9,102.33,98.87,95.32,94.85,93.1,98.34,95.94,95.65,98.64,95.65,93.1,90.84,94.73,99.2,100.57,100.45,96.78,84.7,85.48,84.16,87.18,85.47,83.55,83.06,80.88,80.58,80.64,81.44,87.64,87.23,89.47,90.29,92.37,89.2,89.32,88.27,87.95,88.78,86.9,86.97,89.14,91.36,93.9,101.49,104.01,105.48,105.03,110.69,112.75,117.18,127.47,132.18,130.18,130.92,130.22,128.33,128.24,124.48,126.99,131.79,152.01,164.22,163.89,170.36,170.79,156.92,158.25,163.18,166.73,163.84,152.96
과일,2015=100,104.28,96.52,96.26,99.02,97.19,98.65,98.1,99.77,97.23,96.44,104.5,103.84,103.8,106.18,102.79,112.5,108.63,107.66,103.23,105.09,103.88,103.49,104.77,102.55,99.21,99.2,103.06,106.32,118.46,113.14,107.96,114.12,111.46,103.59,105.55,103.3,101.22,100.69,103.53,106.78,114.33,113.4,105.8,104.86,107.48,99.79,98.37,100.92,105.66,101.36,105.01,105.55,109.82,106.19,108.53,111.1,113.19,112.57,117.48,114.98,111.15,112.97,116.64,120.32,131.5,136.68,139.06,137.42,141.8,144.04,135.27,129.49
냉동채소,2015=100,113.14,109.29,108.33,108.14,104.83,100.19,100.57,100.26,100.65,100.86,98.63,92.66,91.05,92.15,87.21,83.7,84.95,86.25,88.65,87.94,89.38,90.98,90.8,90.34,90.27,90.3,90.97,100.25,103.97,103.29,115.03,118.14,116.57,116.39,114.75,115.57,116.18,119.13,121.75,112.47,112.83,112.76,115.3,114.14,113.89,109.46,106.79,104.72,107.16,108.54,110.44,109.91,110.3,110.1,114.32,139.84,140.95,148.11,149.67,150.59,151.9,192.92,164.56,162.14,165.51,166.66,175.33,177.97,183.86,188.43,189.19,181.45
쇠고기,2015=100,91.1,85.92,86.1,81.78,81.57,82.17,82.04,85.55,86.27,87.61,84.31,82.36,83.63,86.65,83.8,83.27,86.05,87.42,90.8,91.37,92.77,94.66,96.62,95.85,95.77,97.0,98.36,100.8,104.61,105.3,102.98,106.58,103.54,104.11,111.61,104.61,100.75,103.58,106.32,104.33,106.06,97.55,94.45,93.59,95.27,93.57,96.73,93.06,95.45,101.68,100.69,105.07,108.08,107.83,111.3,114.56,115.94,118.72,120.6,121.29,132.1,127.11,132.04,135.32,139.79,140.61,144.53,141.55,145.09,144.31,130.5,121.17
돼지고기,2015=100,130.27,124.81,126.29,130.56,132.76,131.46,129.61,120.59,119.01,122.42,119.93,117.9,116.31,118.08,116.9,116.59,117.31,117.17,113.56,112.96,116.91,118.15,114.93,112.84,111.46,111.64,127.0,134.09,140.25,136.47,130.88,131.92,142.0,145.32,143.42,141.7,137.11,133.61,141.06,136.29,134.47,135.79,130.82,129.09,138.94,144.42,134.32,130.85,134.12,139.83,151.12,157.14,157.12,154.43,153.29,154.97,154.01,156.73,152.05,148.07,147.08,148.68,153.33,158.82,162.0,161.57,158.01,158.15,157.49,155.87,145.89,138.21
닭고기,2017.12=100,,,,,,,,,,,,100.0,99.54,104.89,106.42,106.5,109.38,121.97,133.25,126.65,108.78,109.17,105.54,99.5,109.33,113.41,118.95,127.64,135.84,134.95,130.65,122.33,105.93,105.95,107.67,109.55,115.01,115.53,103.1,102.82,100.96,97.29,90.38,78.15,75.98,80.92,80.19,78.63,81.87,87.14,97.86,105.06,102.75,98.59,100.58,109.57,129.14,143.52,138.71,132.68,125.46,130.69,158.83,169.11,180.88,182.25,187.3,180.84,180.29,164.3,152.52,126.25
