"시도별","품목별","항목","단위","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월",
"전국","총지수","소비자물가지수[2020=100]","2020=100","98.106","98.855","98.751","98.931","98.979","98.779","98.59","99.462","100.221","100.041","99.33","98.988","98.884","99.311","99.121","99.481","99.652","99.491","99.187","99.425","99.794","100.041","99.481","99.719","100.09","100.16","99.94","99.5","99.44","99.71","99.63","100.19","100.74","100.18","100.09","100.33","101.04","101.58","101.84","101.98","102.05","102.05","102.26","102.75","103.17","103.35","103.87","104.04","104.69","105.3","106.06","106.85","107.56","108.22","108.74","108.62","108.93","109.21","109.1","109.28","110.1","110.38","110.56","110.8","111.13",
"전국","농축수산물","소비자물가지수[2020=100]","2020=100","92.106","96.765","93.794","94.18","92.509","90.217","90.771","99.166","104.874","100.207","94.641","94.7","94.406","95.397","93.525","94.801","93.634","91.804","90.511","91.955","96.32","96.421","92.064","93.953","95.63","94.73","96.57","95.78","96.98","97.4","98.45","103.3","108.68","108.45","101.74","102.3","105.7","109.97","109.41","108.4","107.94","106.63","106.81","109.06","112.01","109.01","109.47","110.3","112.31","111.72","109.89","110.42","112.45","111.8","114.4","116.74","118.99","114.68","109.78","110.64","113.6","112.96","113.15","111.53","112.07",
"전국","(농산물)곡물","소비자물가지수[2020=100]","2020=100","84.345","86.078","87.938","89.816","90.337","90.695","91.369","92.206","93.392","98.3","100.852","102.047","102.124","102.081","102.038","101.569","101.706","101.39","101.031","100.485","100.673","100.698","100.622","99.58","98.83","98.37","98.22","97.99","97.6","97.72","97.48","97.89","99.55","102.44","106.08","107.84","108.76","109.24","109.47","109.54","110.1","110.24","110.49","110.44","109.78","107.9","107.52","106.34","104.75","103.59","102.59","101.13","99.72","98.51","97.32","95.47","93.93","94.4","97.81","97.15","95.82","96.03","95.67","95.33","95.68",
"전국","쌀","소비자물가지수[2020=100]","2020=100","82.418","84.49","86.893","89.075","89.636","90.086","91.096","92.174","93.236","98.636","99.868","100.768","100.411","100.258","100.216","99.435","99.698","99.197","98.9","98.348","98.518","98.636","98.832","98.059","97.65","97.52","97.28","97.09","96.91","97.19","97.14","97.73","100.14","103.86","108.33","109.17","109.54","109.84","110.19","110.08","110.65","110.73","111.17","111.2","109.91","107.1","106.8","105.63","103.89","102.87","101.9","99.94","98.23","96.77","95.23","92.8","90.34","91.08","96.16","95.76","94.26","94.57","93.99","93.46","94.05",
"전국","현미","소비자물가지수[2020=100]","2020=100","83.784","84.536","85.218","85.762","86.229","86.16","86.998","87.162","88.147","92.604","100.551","103.108","103.774","104.214","104.205","104.059","103.748","104.059","104.637","104.326","104.396","104.43","103.592","102.486","100.48","99.43","99.94","100.23","99.81","99.41","98.98","98.85","97.92","99.4","100.85","104.69","105.8","105.81","105.44","106.29","108.18","108.45","108.45","108.81","108.83","108.91","108.53","108.41","107.39","106.62","105.34","105.25","104.03","102.93","102.33","101.34","101.72","101.01","100.42","98.89","98.31","97.65","96.11","96.1","95.97",
"전국","찹쌀","소비자물가지수[2020=100]","2020=100","83.705","84.971","85.605","86.802","87.053","87.07","86.082","86.932","89.638","95.674","103.177","105.059","106.108","105.709","105.397","106.039","105.753","105.753","103.645","102.812","104.304","104.443","103.888","101.971","100.93","100.3","100.58","99.86","99.09","99.08","97.71","97.58","98.53","99.99","102.18","104.16","105.73","106.39","106.58","107.25","107.68","107.82","106.43","106","108","108.13","107.48","106.47","104.75","103.63","101.56","100.81","99.76","98.74","97.55","95.74","97.04","96.87","95.84","94.76","92.7","93.45","93.18","93.16","92.85",
"전국","보리쌀","소비자물가지수[2020=100]","2020=100","111.027","111.832","111.194","111.497","111.362","111.424","111.048","110.86","110.588","110.724","110.766","111.341","111.487","111.487","111.476","111.497","111.142","111.226","110.233","108.091","107.317","106.575","106.366","104.778","103.49","103.4","102.82","102.01","98.86","99.44","98.6","98.13","98.52","98.32","98.24","98.16","98.32","98.4","98.1","98.01","98.21","98.62","100.48","100.96","101.27","101.54","101.72","101.43","101.73","101.5","102.44","103.1","102.99","103.55","106.59","108.89","109.55","110.14","111.09","110.78","111.73","112.13","113.12","113.65","113.76",
"전국","콩","소비자물가지수[2020=100]","2020=100","94.559","95.983","97.416","101.292","103.054","104.149","104.486","104.862","107.252","111.036","114.031","115.195","116.329","116.605","116.651","116.98","117.019","116.053","115.05","114.345","113.104","112.154","110.745","106.922","102.98","99.99","99.87","99.31","98.09","97.15","97.15","97.39","97.81","98.51","101.85","109.9","114.73","116.99","116.96","117.38","117.23","117.58","117.63","116.61","117.43","117.48","116.86","113.13","110.94","107.3","106.71","105.04","104.34","103.63","103.04","103.01","102.52","102.75","102.03","100.24","99.36","97.91","98.18","98.36","98.12",
"전국","땅콩","소비자물가지수[2020=100]","2020=100","88.17","87.922","88.046","88.153","87.344","87.486","87.646","87.318","87.264","87.575","88.366","90.674","91.847","92.957","94.004","93.72","94.173","94.271","94.928","94.484","94.919","94.04","95.132","96.26","97.46","97.25","97.83","98.21","98.38","99.83","100.18","100.63","100.94","101.71","103.55","104.04","104.32","104.55","104.96","104.42","104.84","105.38","105.62","105.8","106.32","105.73","104.92","104.88","104.2","105.4","105.95","106.17","107.06","106.73","107.11","106.28","106.4","106.03","106.44","106.79","107.17","107.3","107.93","108.11","108.95",
"전국","혼식곡","소비자물가지수[2020=100]","2020=100","90.008","91.151","92.138","92.968","92.998","93.027","92.636","92.861","93.203","94.795","96.671","97.912","99.417","99.769","99.906","99.935","100.306","100.951","101.371","101.742","101.938","101.948","101.713","101.303","101.13","100.76","100.18","100.3","100.06","100.05","99.13","99.42","98","99.05","99.35","102.57","104.32","105.19","105.29","105.5","105.77","105.94","106.27","106.47","106.01","106.62","105.71","105.83","105.54","104.67","103.52","104.74","104.34","104.35","103.82","103.72","104.2","104.08","105.56","104.31","103.44","104.95","107.08","106.91","106.58",
